,Chromosome,Start,Stop,Strand,Gene Symbol,gene_biotype,gene_name,gene_source,tag,transcript_biotype,transcript_source,GC-JN-9178-12-IC_S13,GC-JN-9178-9-OC_S10,GC-JN-9178-9-R_S6,GC-JN-9178-Ctrl-IC_S8,GC-JN-9178-12-R_S5,GC-JN-9178-13-R_S11,GC-JN-9178-13-OC_S3,GC-JN-9178-Ctrl-OC_S9,GC-JN-9178-13-IC_S7,GC-JN-9178-11-R_S4,GC-JN-9178-10-R_S15,GC-JN-9178-11-OC_S17,GC-JN-9178-10-OC_S2,GC-JN-9178-9-IC_S12,GC-JN-9178-11-IC_S16,GC-JN-9178-12-OC_S14,GC-JN-9178-10-IC_S1,BLGCSEQ0192-RNAControl1_S18,BLGCSEQ0192-RNAControl3_S20,BLGCSEQ0192-RNAControl2_S19
79,12,46709880,46895816,+,ABR,protein_coding,ABR,ensembl,---,protein_coding,ensembl,633.0,287.0,607.0,765.0,1325.0,784.0,1311.0,775.999,1056.0,1236.0,712.0,357.0,792.003,1006.0,448.0,844.002,771.998,7.0,8.0,11.0
122,10,33937833,34001901,-,ACO1,protein_coding,ACO1,ensembl,---,protein_coding,ensembl,68.0,15.0,72.0,159.0,138.0,70.0,90.0,123.0,73.0,130.0,64.0,61.0,99.0001,90.9999,54.0,113.0,206.0,5.0,6.0,6.0
154,3,4082216,4090357,-,ACTB,protein_coding,ACTB,ensembl,---,protein_coding,ensembl,16531.3,5638.91,19539.9,9741.73,23565.0,18670.4,19707.6,18640.5,18560.1,19925.4,12589.5,10233.8,23498.2,25691.5,13147.5,26387.7,6441.21,1019.99,1166.41,1333.86
160,7,92550007,92644843,-,ACTN1,protein_coding,ACTN1,ensembl,---,protein_coding,ensembl,5098.78,1280.0,5727.82,4370.85,5168.0,4146.98,4908.13,8942.4,4582.76,5041.53,4398.04,2993.93,5548.11,6360.77,3955.83,7701.62,1641.98,33.0,47.0,44.0
238,3,38103923,38303539,+,ADCY9,protein_coding,ADCY9,ensembl,---,protein_coding,ensembl,119.0,45.0,159.0,278.0,201.0,303.0,283.0,324.0,168.0,204.0,164.0,173.0,251.0,225.0,168.0,296.0,286.0,3.0,4.0,8.0
244,8,16666603,16787257,-,ADGRA3,protein_coding,ADGRA3,ensembl,---,protein_coding,ensembl,61.0,28.0,51.0,157.0,100.0,38.0,83.0001,142.0,58.0,53.0,23.0,31.0,52.0,81.0,47.0,102.0,152.0,0.0,5.0,3.0
248,14,24059019,24241177,-,ADGRD1,protein_coding,ADGRD1,ensembl,---,protein_coding,ensembl,57.0,4.0,41.0,122.0,15.0,20.0,19.0,172.0,38.0,22.0,25.0,8.0,52.0,47.0,29.0,78.0,240.0,0.0,0.0,0.0
281,6,92237354,92244519,+,ADPRS,protein_coding,ADPRS,ensembl,---,protein_coding,ensembl,44.0,5.0,23.0,30.0,34.0,9.0,40.0,43.0,30.0,48.0,51.0,27.0,30.0,45.0,15.0,39.0,65.0,1.0,4.0,4.0
284,17,31517021,31537362,+,ADRA1D,protein_coding,ADRA1D,ensembl,---,protein_coding,ensembl,3.0,0.0,3.0,3.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,2.0,5.0,9.0,17.0,0.0,0.0,0.0
400,14,39896565,39933125,-,ALDH2,protein_coding,ALDH2,ensembl,---,protein_coding,ensembl,62.0,17.0,47.0,41.0,492.002,107.0,269.0,62.0,198.0,310.0,171.0,42.0,92.0,101.0,45.0,64.0,45.0,0.0,0.0,1.0
407,2,129662296,129713730,-,ALDH7A1,protein_coding,ALDH7A1,ensembl,---,protein_coding,ensembl,282.0,115.0,307.0,254.0,447.0,339.0,265.0,251.0,242.0,461.0,368.0,231.0,276.0,342.001,212.0,398.0,284.0,6.0,2.0,2.0
481,6,71350032,71356670,+,ANGPTL7,protein_coding,ANGPTL7,ensembl,---,protein_coding,ensembl,1193.01,195.0,1251.0,1162.0,577.002,619.002,514.998,1875.0,622.0,406.0,413.0,650.0,951.002,1307.0,964.004,1294.0,222.0,0.0,0.0,0.0
493,2,82702179,82715342,-,ANKRA2,protein_coding,ANKRA2,ensembl,---,protein_coding,ensembl,21.0,15.0,31.0,38.0,61.0,30.0,22.0,43.0,32.0,71.0,41.0,29.0,37.0,29.0,38.0,35.0,16.0,0.0,0.0,0.0
